city,date,chat,temp,dewpoint,pm10,o3,time,season
chic,3/9/1987,126,31,14,18.791194376,29.01369549,68,winter
chic,3/10/1987,113,25.5,13.625,18.375637886,27.55536216,69,winter
chic,3/11/1987,112,28.5,17,31.791194372,18.95119549,70,winter
chic,3/12/1987,125,33.5,22.375,65.791194372,19.63869549,71,winter
chic,3/13/1987,128,34,33.125,40.7911943722,21.65952883,72,winter
chic,3/14/1987,106,37,33,42.7911943722,17.13869549,73,winter
chic,3/15/1987,113,35,24.5,NA,36.07619549,74,winter
chic,3/16/1987,117,37.5,17.875,25.716321015,35.55264477,75,winter
chic,3/17/1987,127,38.5,19.375,48.791194372,26.99286216,76,winter
chic,3/18/1987,120,39.5,30.25,56.791194372,19.48940536,77,winter
chic,3/19/1987,121,41.5,26.125,25.791194372,30.8559574,78,winter
chic,3/20/1987,127,43,16.625,21.791194376,34.16298562,79,winter
chic,3/21/1987,120,43.5,22.5,33.791194372,35.74631896,80,winter
chic,3/22/1987,100,48,32.375,36.6668112898,35.20465229,81,winter
chic,3/23/1987,125,53.5,35.25,63.791194372,30.63452883,82,winter
chic,3/24/1987,132,57.5,46.125,51.791194372,24.80536216,83,winter
chic,3/25/1987,134,45,40.125,7.791194376,14.05536216,84,winter
chic,3/26/1987,107,45,40.25,36.7911943722,14.2977864,85,winter
chic,3/27/1987,102,43,38.5,40.7911943722,15.80536216,86,winter
chic,3/28/1987,128,46,35,32.46245826,19.45119549,87,winter
chic,3/29/1987,101,39.5,30.125,30.791194372,20.15258438,88,winter
chic,3/30/1987,125,29,12.875,20.791194376,29.61786216,89,winter
chic,3/31/1987,106,30,19,36.7911943722,23.89860254,90,winter
chic,4/1/1987,119,41.5,22.875,29.791194372,21.25594517,91,spring
chic,4/2/1987,91,29.5,14.625,37.7911943722,22.1078837,92,spring
chic,4/3/1987,120,28,17.375,19.844543456,16.76073344,93,spring
chic,4/4/1987,123,35.5,17.125,19.791194376,28.38715389,94,spring
chic,4/5/1987,108,43.5,33,11.791194376,35.89626627,95,spring
chic,4/6/1987,117,50,21.25,12.791194376,31.76485464,96,spring
chic,4/7/1987,134,49.5,30.875,21.791194376,25.799342,97,spring
chic,4/8/1987,120,40,31.375,12.791194376,21.57465389,98,spring
chic,4/9/1987,120,50,28.5,77.183770988,15.70007977,99,spring
chic,4/10/1987,110,59.5,44.875,62.791194372,22.09443829,100,spring
chic,4/11/1987,111,51,45.625,17.791194376,29.12491087,101,spring
chic,4/12/1987,129,49.5,43.125,30.791194372,26.03068028,102,spring
chic,4/13/1987,93,48,47.25,40.7911943722,18.17319011,103,spring
chic,4/14/1987,140,52.5,51.5,26.791194372,13.72080916,104,spring
chic,4/15/1987,106,51.5,50.125,30.230273806,17.46520409,105,spring
chic,4/16/1987,110,54,49.25,20.092872186,22.45329933,106,spring
chic,4/17/1987,115,57.5,47,36.7911943722,19.56044219,107,spring
chic,4/18/1987,106,61.5,49.875,99.791194372,31.37894946,108,spring
chic,4/19/1987,105,64,53,NA,32.60513994,109,spring
chic,4/20/1987,120,71,55.75,48.791194372,41.42157546,110,spring
chic,4/21/1987,97,56,39,35.3497627843,20.63267534,111,spring
chic,4/22/1987,136,47,45.625,21.791194376,9.252467007,112,spring
chic,4/23/1987,112,52,43.75,19.791194376,10.24114454,113,spring
chic,4/24/1987,108,49,30.75,9.791194376,27.87225867,114,spring
chic,4/25/1987,130,51,32.5,23.791194376,27.1115134,115,spring
chic,4/26/1987,102,57,33.875,51.791194372,32.44779637,116,spring
chic,4/27/1987,107,56.5,31.625,34.964022239,35.91830166,117,spring
chic,4/28/1987,118,53.5,28.625,65.791194372,22.38359737,118,spring
chic,4/29/1987,110,64.5,34.625,54.791194372,34.43149944,119,spring
chic,4/30/1987,101,46,16.625,12.791194376,35.17329306,120,spring
chic,5/1/1987,117,53.5,39,59.791194372,19.9502686,121,spring
chic,5/2/1987,123,53,47.375,23.791194376,25.03279689,122,spring
chic,5/3/1987,110,45,35,18.842783566,27.54055222,123,spring
chic,5/4/1987,108,48,29.375,19.791194376,30.9393187,124,spring
chic,5/5/1987,134,50.5,32.625,53.791194372,23.07433473,125,spring
chic,5/6/1987,131,58,40.125,NA,31.65655109,126,spring
chic,5/7/1987,126,59.5,40.875,34.791194372,29.90970611,127,spring
chic,5/8/1987,108,59,33.375,47.791194372,16.97397949,128,spring
chic,5/9/1987,112,69.5,43.75,55.979414109,43.34148219,129,spring
chic,5/10/1987,116,74.5,51.5,NA,43.76485193,130,spring
chic,5/11/1987,131,71,58,74.791194372,45.06712044,131,spring
chic,5/12/1987,123,51.5,32.75,5.791194376,25.52745973,132,spring
chic,5/13/1987,104,59,53,13.791194376,26.76935264,133,spring
chic,5/14/1987,123,69,53.375,NA,39.3043239,134,spring
chic,5/15/1987,105,56.5,33.875,20.309135416,24.31396315,135,spring
chic,5/16/1987,108,62.5,42.625,40.7911943722,32.0463962,136,spring
chic,5/17/1987,123,70.5,63.625,56.791194372,50.67057916,137,spring
chic,5/18/1987,134,66.5,57.625,NA,25.3181373,138,spring
chic,5/19/1987,101,67.5,61.125,35.7911943722,26.55730009,139,spring
chic,5/20/1987,114,66.5,59.75,40.7911943722,15.5360646,140,spring
chic,5/21/1987,125,74,66.75,43.3833400636,33.58728742,141,spring
chic,5/22/1987,111,61.5,49.75,NA,12.21097763,142,spring
chic,5/23/1987,107,51,45.625,6.791194376,10.76187982,143,spring
chic,5/24/1987,105,50.5,45.125,NA,19.41319556,144,spring
chic,5/25/1987,115,57.5,62.875,43.7911943722,13.20931225,145,spring
chic,5/26/1987,106,73,67.625,21.791194376,29.76463795,146,spring
chic,5/27/1987,113,78.5,67.375,40.4503398338,30.99703223,147,spring
chic,5/28/1987,104,78.5,65.75,42.7911943722,29.35653898,148,spring
chic,5/29/1987,106,78.5,67.125,43.7911943722,26.54911556,149,spring
chic,5/30/1987,115,76,65.625,28.791194372,22.16812981,150,spring
chic,5/31/1987,102,76,60.125,25.791194372,31.83702862,151,spring
chic,6/1/1987,112,74.5,68.5,23.791194376,34.59607735,152,spring
chic,6/2/1987,111,72,64.75,32.148512799,18.61604648,153,spring
chic,6/3/1987,120,69,47.25,35.7911943722,23.24254474,154,spring
chic,6/4/1987,103,63,45,38.7911943722,20.7019531,155,spring
chic,6/5/1987,98,70,54.875,54.791194372,32.87715032,156,spring
chic,6/6/1987,101,71,54.625,50.791194372,43.56062287,157,spring
chic,6/7/1987,102,77.5,58.125,39.7911943722,50.66999787,158,spring
chic,6/8/1987,143,74.5,60.25,48.216673397,49.10613918,159,spring
chic,6/9/1987,88,57.5,41.125,8.791194376,29.90011193,160,spring
chic,6/10/1987,106,61,51,43.7911943722,28.97506664,161,spring
chic,6/11/1987,96,72.5,68.75,39.7911943722,28.04424029,162,spring
chic,6/12/1987,117,80,62,34.791194372,29.08702412,163,spring
chic,6/13/1987,97,77,62,66.791194372,39.82954306,164,spring
chic,6/14/1987,146,83,68.5,41.4003540043,45.66392534,165,spring
chic,6/15/1987,120,73.5,48.5,21.791194376,33.43212459,166,spring
chic,6/16/1987,109,75,52.875,39.7911943722,32.92155695,167,spring
chic,6/17/1987,112,77,61,64.791194372,54.75316945,168,spring
chic,6/18/1987,132,80.5,62.75,83.791194372,63.21598039,169,spring
chic,6/19/1987,106,77.5,61.375,73.791194372,47.62986399,170,spring
chic,6/20/1987,122,77,73.625,58.067020671,46.13425293,171,spring
chic,6/21/1987,112,76,71.125,35.7911943722,33.15484833,172,spring
chic,6/22/1987,117,67,59,45.791194372,25.35329021,173,spring
chic,6/23/1987,100,72.5,57.75,42.7911943722,32.67388867,174,spring
chic,6/24/1987,108,76,65.75,56.791194372,49.55821126,175,spring
chic,6/25/1987,126,70.5,62,46.791194372,33.54338389,176,spring
chic,6/26/1987,105,69,50.75,28.431386872,20.57030976,177,spring
chic,6/27/1987,111,64.5,48.25,29.791194372,21.78905976,178,spring
chic,6/28/1987,122,72,53.625,27.791194372,31.62565939,179,spring
chic,6/29/1987,108,72.5,66,36.7911943722,27.74846196,180,spring
chic,6/30/1987,106,70.5,63,36.7911943722,18.94675293,181,spring
chic,7/1/1987,104,68.5,60.625,15.791194376,33.16319556,182,summer
chic,7/2/1987,120,71,60.25,42.5274287336,36.6692908,183,summer
chic,7/3/1987,112,77.5,60.375,41.7911943722,43.02787727,184,summer
chic,7/4/1987,101,72.5,59.5,17.791194376,32.34282496,185,summer
chic,7/5/1987,114,72.5,69.125,NA,23.08367847,186,summer
chic,7/6/1987,113,80,69,26.820991968,31.74652704,187,summer
chic,7/7/1987,119,80,69.125,NA,34.25066156,188,summer
chic,7/8/1987,126,80.5,69.25,37.0101333467,31.37364672,189,summer
chic,7/9/1987,108,80.5,67.625,24.686603115,25.33323237,190,summer
chic,7/10/1987,95,80,67.625,26.525719836,23.55505909,191,summer
chic,7/11/1987,125,80,73.5,72.477104607,28.99954984,192,summer
chic,7/12/1987,119,79.5,65.5,40.5071797946,29.62201842,193,summer
chic,7/13/1987,77,64.5,58.75,26.453552034,10.13608991,194,summer
chic,7/14/1987,113,67,53,20.853813154,22.04191494,195,summer
chic,7/15/1987,110,63,54.375,10.406233424,23.01951455,196,summer
chic,7/16/1987,108,65.5,58.625,20.118244614,32.34244074,197,summer
chic,7/17/1987,102,78,67,32.415027094,42.56231096,198,summer
chic,7/18/1987,110,79.5,68.375,44.3876933811,47.74278912,199,summer
chic,7/19/1987,129,84.5,73.625,65.437700325,46.99458482,200,summer
chic,7/20/1987,140,81.5,67.625,64.09737115,41.02133025,201,summer
chic,7/21/1987,105,81,71.25,51.406620826,58.66905762,202,summer
chic,7/22/1987,110,80.5,69.625,91.444475715,45.25275363,203,summer
chic,7/23/1987,121,82,70,110.470203976,58.84852232,204,summer
chic,7/24/1987,110,83,71.25,74.066933319,35.38455301,205,summer
chic,7/25/1987,115,84.5,71.125,46.549877232,43.34630218,206,summer
chic,7/26/1987,105,78.5,66.25,29.493231562,27.49553138,207,summer
chic,7/27/1987,112,71,62.625,25.611649349,15.40729975,208,summer
chic,7/28/1987,109,72.5,63.25,32.189173067,19.99316266,209,summer
chic,7/29/1987,125,78,70.25,18.64814389,24.6405631,210,summer
chic,7/30/1987,92,79.5,72.375,68.767226972,50.3724213,211,summer
chic,7/31/1987,110,80.5,75.75,41.7609376639,38.41987635,212,summer
chic,8/1/1987,113,87,75.25,56.243623074,39.47246582,213,summer
chic,8/2/1987,115,86,73.875,39.8552772866,46.69757768,214,summer
chic,8/3/1987,137,83,68.625,47.944441538,30.33864117,215,summer
chic,8/4/1987,112,75,60.625,15.010272263,21.53980013,216,summer
chic,8/5/1987,126,72,55.75,9.137300254,20.83508859,217,summer
chic,8/6/1987,111,72,62.125,44.1028174937,29.66688371,218,summer
chic,8/7/1987,95,79.5,67.375,50.12927778,45.34995554,219,summer
chic,8/8/1987,113,73.5,73.625,50.281500879,23.59034501,220,summer
chic,8/9/1987,107,72.5,64.125,23.319118434,26.57865356,221,summer
chic,8/10/1987,96,71,63.125,18.451634039,30.13144306,222,summer
chic,8/11/1987,98,74.5,61.875,35.467364907,34.04492076,223,summer
chic,8/12/1987,83,76,63.625,74.467364907,37.22133101,224,summer
chic,8/13/1987,121,75.5,69.5,64.14517077,36.18475758,225,summer
chic,8/14/1987,107,74,74.625,45.3818776189,24.43171931,226,summer
chic,8/15/1987,115,79.5,75.875,35.754864907,33.24128683,227,summer
chic,8/16/1987,125,80,73.875,37.3453623652,32.14577401,228,summer
chic,8/17/1987,120,73.5,60.25,33.557707973,26.37403443,229,summer
chic,8/18/1987,102,69.5,64.25,42.4948148913,14.21772145,230,summer
chic,8/19/1987,102,70,56.75,30.002997898,19.13284023,231,summer
chic,8/20/1987,118,70,62.625,43.268399797,30.99476393,232,summer
chic,8/21/1987,118,76,72.5,37.1803494825,37.83100651,233,summer
chic,8/22/1987,107,71.5,54.625,26.024426575,24.0575107,234,summer
chic,8/23/1987,107,63,49,18.048761976,17.86685445,235,summer
chic,8/24/1987,133,61.5,51.375,37.1210890182,12.60052633,236,summer
chic,8/25/1987,107,59,58,35.3305896047,7.195805593,237,summer
chic,8/26/1987,96,62,63.25,44.0833531691,8.648028335,238,summer
chic,8/27/1987,103,63.5,61.375,14.105564146,14.4552497,239,summer
chic,8/28/1987,117,63.5,54.625,26.089791278,22.56271193,240,summer
chic,8/29/1987,100,65.5,57,NA,18.62420995,241,summer
chic,8/30/1987,125,72,59.625,29.0454779,23.17459063,242,summer
chic,8/31/1987,113,62,46.5,24.101701995,16.12384768,243,summer
chic,9/1/1987,112,64,49.5,31.181767186,18.32106957,244,summer
chic,9/2/1987,107,61.5,50.125,11.017086735,22.32070711,245,summer
chic,9/3/1987,122,60.5,49.25,18.029881561,21.08569449,246,summer
chic,9/4/1987,115,69,59.125,NA,32.23340782,247,summer
chic,9/5/1987,104,73,57.375,NA,46.39474972,248,summer
chic,9/6/1987,118,75,66.25,61.775910768,38.47863784,249,summer
chic,9/7/1987,137,70.5,65.625,NA,23.43502405,250,summer
chic,9/8/1987,117,72,63.5,NA,25.946882,251,summer
chic,9/9/1987,104,68.5,56.125,NA,19.28977909,252,summer
chic,9/10/1987,105,67.5,57.75,NA,27.08594247,253,summer
chic,9/11/1987,109,69,57,NA,22.93595208,254,summer
chic,9/12/1987,121,68,50.375,29.244579946,15.71445707,255,summer
chic,9/13/1987,108,59,53.25,NA,12.26927386,256,summer
chic,9/14/1987,114,61.5,58,NA,19.18826872,257,summer
chic,9/15/1987,108,72,66,NA,15.97771284,258,summer
chic,9/16/1987,111,69,66.875,27.381753527,10.81820652,259,summer
chic,9/17/1987,110,67.5,64.25,24.453536761,13.79384533,260,summer
chic,9/18/1987,107,63.5,60.375,24.872964251,7.202738747,261,summer
chic,9/19/1987,107,61,50.25,NA,12.55958596,262,summer
chic,9/20/1987,108,57,50.875,NA,7.482985595,263,summer
chic,9/21/1987,139,55.5,54.75,23.462738175,5.125268006,264,summer
chic,9/22/1987,130,61,52.5,NA,7.682495903,265,summer
chic,9/23/1987,111,63,51,32.502434798,13.55143031,266,summer
chic,9/24/1987,112,59.5,46.25,22.289694634,17.12656659,267,summer
chic,9/25/1987,106,56.5,43,49.438537034,13.93941007,268,summer
chic,9/26/1987,127,65,53.375,36.4001983763,23.20290305,269,summer
chic,9/27/1987,110,75.5,54,43.3171312836,28.42728668,270,summer
chic,9/28/1987,120,69,61.125,51.28574963,30.42069734,271,summer
chic,9/29/1987,115,61.5,52.375,28.279359853,12.90071597,272,summer
chic,9/30/1987,120,55,35.625,24.53903681,11.56486865,273,summer
chic,10/1/1987,117,55.5,46.375,38.2889445178,17.18786807,274,autumn
chic,10/2/1987,128,47,32.25,46.333672952,15.5187625,275,autumn
chic,10/3/1987,115,42.5,29.875,46.331020925,15.83443094,276,autumn
chic,10/4/1987,123,52,30.75,44.217139406,19.26625226,277,autumn
chic,10/5/1987,118,60,41.25,42.1447936208,15.03912174,278,autumn
chic,10/6/1987,137,45.5,38,21.41606512,7.510697923,279,autumn
chic,10/7/1987,134,39.5,26.875,30.103126954,13.60506741,280,autumn
chic,10/8/1987,134,41.5,26.875,35.0614602874,10.42381277,281,autumn
chic,10/9/1987,115,53.5,31.25,32.127746685,11.97972771,282,autumn
chic,10/10/1987,103,42.5,32.625,22.31658849,9.044195085,283,autumn
chic,10/11/1987,106,39,25.5,26.281332082,14.7736285,284,autumn
chic,10/12/1987,123,42.5,30.375,41.2230345627,12.49249876,285,autumn
chic,10/13/1987,116,49.5,33.375,NA,15.57550937,286,autumn
chic,10/14/1987,120,55.5,38.125,35.3052623321,11.34198405,287,autumn
chic,10/15/1987,130,63,36,46.292177151,25.11364084,288,autumn
chic,10/16/1987,111,62.5,55.125,52.237416673,29.12662993,289,autumn
chic,10/17/1987,122,48,42.125,13.23741667,9.298494999,290,autumn
chic,10/18/1987,121,53.5,43.75,25.401047864,15.87679902,291,autumn
chic,10/19/1987,117,49.5,40.25,5.33197311,18.97246703,292,autumn
chic,10/20/1987,111,45.5,32.375,18.34158849,15.64767097,293,autumn
chic,10/21/1987,114,37,33.25,15.69885707,6.546019272,294,autumn
chic,10/22/1987,104,43,34.25,19.253767977,6.540187711,295,autumn
chic,10/23/1987,98,39,31.125,44.1736397749,8.513358525,296,autumn
chic,10/24/1987,139,38.5,33.5,27.303063093,7.851674033,297,autumn
chic,10/25/1987,126,42,31.125,NA,11.06245175,298,autumn
chic,10/26/1987,115,44.5,45.375,27.115947467,5.090080245,299,autumn
chic,10/27/1987,119,44.5,34.5,25.107157811,9.785826306,300,autumn
chic,10/28/1987,114,38.5,28.875,25.038383364,5.089741219,301,autumn
chic,10/29/1987,123,44.5,37.75,42.1281269541,7.464208318,302,autumn
chic,10/30/1987,125,54.5,42.875,50.903382651,17.15828269,303,autumn
chic,10/31/1987,116,52,49.375,54.140947467,13.10745038,304,autumn
chic,11/1/1987,118,58,58.5,24.13133208,10.08007381,305,autumn
chic,11/2/1987,138,64,56.625,40.1114494232,12.16867784,306,autumn
chic,11/3/1987,98,66,49.875,NA,31.27629458,307,autumn
chic,11/4/1987,114,56.5,38.25,41.2281269541,16.92182881,308,autumn
chic,11/5/1987,117,40.5,19.875,23.99360158,18.31534275,309,autumn
chic,11/6/1987,108,39.5,25.75,38.1398190507,7.519504549,310,autumn
chic,11/7/1987,109,45.5,29.5,40.0314365306,4.086583234,311,autumn
chic,11/8/1987,121,49.5,41.75,58.857690118,21.89305195,312,autumn
chic,11/9/1987,109,35,18.5,10.919970091,24.62530672,313,autumn
chic,11/10/1987,127,34,24.875,5.063282191,25.46657031,314,autumn
chic,11/11/1987,143,35,23.75,28.457765785,6.782790021,315,autumn
chic,11/12/1987,118,43.5,31.125,39.8021356928,7.382039853,316,autumn
chic,11/13/1987,113,48.5,31.375,47.838997486,4.27885882,317,autumn
chic,11/14/1987,125,47,31.125,10.783715139,9.458289851,318,autumn
chic,11/15/1987,108,50.5,32,43.8591302099,17.54968074,319,autumn
chic,11/16/1987,100,56,56,26.926757346,15.35192877,320,autumn
chic,11/17/1987,112,50,35.375,16.753225805,11.18566126,321,autumn
chic,11/18/1987,106,38,29.25,NA,7.697694379,322,autumn
chic,11/19/1987,128,37.5,26,20.839884175,8.510180301,323,autumn
chic,11/20/1987,128,27.5,10.375,26.810273267,22.64715377,324,autumn
chic,11/21/1987,121,25.5,11.5,19.977936723,8.826374906,325,autumn
chic,11/22/1987,128,42,28.75,NA,9.362383685,326,autumn
chic,11/23/1987,127,43.5,31.75,28.416613944,9.434958311,327,autumn
chic,11/24/1987,113,39.5,39.375,44.958949378,6.478299972,328,autumn
chic,11/25/1987,117,40,36.875,2.968443053,10.69722539,329,autumn
chic,11/26/1987,114,40,35.875,7.911615306,21.16052707,330,autumn
chic,11/27/1987,117,40.5,39.5,NA,8.783947116,331,autumn
chic,11/28/1987,115,47,45.5,NA,4.364459532,332,autumn
chic,11/29/1987,103,39,34.625,10.26237789,3.111268879,333,autumn
chic,11/30/1987,101,37,35.5,NA,4.182015618,334,autumn
chic,12/1/1987,134,32,24.125,20.6943154,11.05746753,335,autumn
chic,12/2/1987,93,30,26.375,15.35780746,8.32508474,336,autumn
chic,12/3/1987,116,30.5,26.25,22.362256716,4.079205299,337,autumn
chic,12/4/1987,128,27,19.625,27.416224968,9.98271668,338,autumn
chic,12/5/1987,109,27,24.625,23.038184156,11.5380394,339,autumn
chic,12/6/1987,142,31.5,29,14.403526556,12.66162882,340,autumn
chic,12/7/1987,124,38.5,36.25,17.414415246,3.513230135,341,autumn
chic,12/8/1987,112,46.5,49.5,20.150084036,3.209468309,342,autumn
chic,12/9/1987,116,49.5,34.375,13.197113903,7.257236205,343,autumn
chic,12/10/1987,136,38,31.125,24.219142353,5.081363024,344,autumn
chic,12/11/1987,138,41,33.625,21.937026713,2.447078581,345,autumn
chic,12/12/1987,136,35,23.75,21.241506563,8.719930369,346,autumn
chic,12/13/1987,108,31.5,23.5,26.314988996,10.84774833,347,autumn
chic,12/14/1987,125,30,27.5,35.250262634,10.86089375,348,autumn
chic,12/15/1987,140,31,24.25,11.928530172,7.169268383,349,autumn
chic,12/16/1987,149,27.5,16.625,28.82629375,9.752139429,350,autumn
chic,12/17/1987,118,20.5,11.75,25.823407032,5.137245233,351,autumn
chic,12/18/1987,131,23,25.75,29.069105251,1.853908667,352,autumn
chic,12/19/1987,111,34,35,13.097626892,1.281328766,353,autumn
chic,12/20/1987,130,34,21.25,18.005305039,9.532916922,354,autumn
chic,12/21/1987,125,33,26.125,NA,4.360059166,355,autumn
chic,12/22/1987,121,35,29.125,NA,0.159175399,356,autumn
chic,12/23/1987,144,35.5,31.25,34.851260315,3.388892814,357,autumn
chic,12/24/1987,126,41,39.75,NA,2.390179652,358,autumn
chic,12/25/1987,124,33,25.5,9.397174474,14.99945403,359,autumn
chic,12/26/1987,119,27.5,23.75,NA,18.60340962,360,autumn
chic,12/27/1987,116,29,28.375,38.411944021,9.63426063,361,autumn
chic,12/28/1987,156,33.5,30.75,NA,18.13601657,362,autumn
chic,12/29/1987,112,24.5,20.25,19.273206332,19.33150806,363,autumn
chic,12/30/1987,116,25.5,27.625,NA,4.159424356,364,autumn
chic,12/31/1987,148,23.5,7.25,14.573317862,14.00729969,365,autumn
chic,1/1/1988,108,3.5,-3.625,NA,19.9042566,366,winter
chic,1/2/1988,124,15,15.375,NA,7.605789991,367,winter
chic,1/3/1988,138,24.5,16.75,18.569659898,8.604945938,368,winter
chic,1/4/1988,132,5,-15.875,23.009847148,18.31521941,369,winter
chic,1/5/1988,112,-6.5,-15.75,17.511218338,13.18833139,370,winter
chic,1/6/1988,131,-5.5,-15.125,68.27467818,7.187216038,371,winter
chic,1/7/1988,140,3,-1.875,67.084063104,2.075108771,372,winter
chic,1/8/1988,123,8.5,2.75,80.232223021,4.210137421,373,winter
chic,1/9/1988,126,0.5,-12.25,41.0639382309,7.64354891,374,winter
chic,1/10/1988,121,1.5,-1.625,36.116048419,6.507454737,375,winter
chic,1/11/1988,148,24,22.25,32.194302203,6.313275928,376,winter
chic,1/12/1988,146,28.5,15.5,36.255990515,16.94461665,377,winter
chic,1/13/1988,119,12,-0.375,44.2720516025,14.05959485,378,winter
chic,1/14/1988,127,11,9.375,39.3455238631,2.950013147,379,winter
chic,1/15/1988,118,28,22.75,21.170199183,3.975101507,380,winter
chic,1/16/1988,137,39,29.25,30.289879379,14.22417207,381,winter
chic,1/17/1988,138,37,32.25,19.218900483,6.645206395,382,winter
chic,1/18/1988,117,33.5,32.375,NA,8.636726609,383,winter
chic,1/19/1988,125,35.5,34.625,32.193798759,12.90970675,384,winter
chic,1/20/1988,126,34,27.375,15.172016964,6.480592555,385,winter
chic,1/21/1988,100,28.5,21.125,13.585549684,15.94921917,386,winter
chic,1/22/1988,126,27,23.625,25.327595184,6.38441623,387,winter
chic,1/23/1988,131,21,25.75,17.070891704,7.67181617,388,winter
